cluster,target_urls,example_pattern,publish_gate,launch_source
Core hubs and evergreen guides,80,/{release-date|platforms|faq|guides}/,Distinct intent plus confirmed direct answer,Official pages and tested fundamentals
Main-story walkthrough,180,/walkthrough/{chapter-or-objective}/,Completed route with prerequisites steps and outcome,In-game capture
Side quests,260,/side-quests/{quest-slug}/,Verified start exact steps choices rewards and bugs,In-game capture
Bosses and enemies,220,/bosses/{boss-or-enemy-slug}/,Verified name location strategy counters and rewards,In-game capture
Weapons and Phantom Edges,180,/{weapons|phantom-edges}/{entity-slug}/,Acquired entity with moves effects upgrades and pairing,In-game plus official listing
Builds and combat setups,240,/builds/{playstyle-or-matchup-slug}/,Tested setup that solves a distinct player problem,In-game testing
Items and materials,260,/{items|materials}/{entity-slug}/,Verified location use farming route and upgrade cost,In-game capture
Maps and locations,180,/maps/{region-or-location-slug}/,Verified routes NPCs secrets items and shortcuts,In-game capture
Collectibles and achievements,170,/{collectibles|achievements}/{entity-slug}/,Verified unlock location missable status and checklist,In-game capture
Characters factions and lore,90,/{characters|lore}/{entity-slug}/,Official or in-game identity with linked quests and locations,Official material and codex
Platforms settings and fixes,80,/{platforms|settings|fixes}/{intent-slug}/,Verified setting benchmark or reproduced problem and fix,Official stores and testing
Choices endings and New Game Plus,60,/{endings|choices|new-game-plus}/{intent-slug}/,Verified consequence requirement carryover or ending trigger,In-game testing
Total,2000,,,Quality-approved live URLs by 2026-10-29
